"midw" "Nden"
"4" 16.085852605 6.83746205182583e-05
"19" 22.721870745 0.000138884611371121
"34" 32.095495515 2.51162941330096e-05
"49" 45.336092425 7.03495127815632e-06
"64" 64.038932675 7.5101501508431e-06
"79" 90.457396715 8.80971472199732e-06
"94" 127.77446905 3.99628059667306e-06
"109" 180.4862348 9.26223459755591e-07
"124" 254.94358295 3.07363420246319e-07
"139" 360.11738265 8.81174008877357e-08
"154" 508.67932345 2.9384896175536e-08
"169" 718.52864255 1.02364547037146e-08
"184" 1014.9486843 1.02713988391188e-08
"199" 1433.6531225 1.67323653074463e-09
"214" 2025.088862 5.10411509057194e-10
"229" 2860.514049 2.38875253891004e-10
"244" 4040.583491 7.218194610683e-11
"259" 5707.475883 2.3943188374221e-11
"274" 8062.0239695 7.7306356714938e-12
"289" 11387.9115415 1.94102878475295e-12
"304" 16085.852605 1.94373860200429e-13
