"year" "lower" "upper" "NumbersTotArea" "midw" "Nden"
"1" 1983 13.33521432 18.83649089 5046.05927825 16.085852605 3.18877950875965e-05
"2" 1984 13.33521432 18.83649089 4511.266746437 16.085852605 2.8508255980251e-05
"3" 1985 13.33521432 18.83649089 4127.60787226 16.085852605 2.60837827648794e-05
"4" 1986 13.33521432 18.83649089 4420.119160745 16.085852605 2.79322628388696e-05
"5" 1987 13.33521432 18.83649089 9044.444087324 16.085852605 5.71549725903801e-05
"6" 1988 13.33521432 18.83649089 1052.409203293 16.085852605 6.65053800845288e-06
"7" 1989 13.33521432 18.83649089 7577.144211505 16.085852605 4.78825968230469e-05
"8" 1990 13.33521432 18.83649089 2112.276072876 16.085852605 1.33482035913899e-05
"9" 1991 13.33521432 18.83649089 7346.040353875 16.085852605 4.64221715585593e-05
"10" 1992 13.33521432 18.83649089 13476.154388925 16.085852605 8.51604838601671e-05
"11" 1993 13.33521432 18.83649089 12060.261648157 16.085852605 7.62129675719153e-05
"12" 1994 13.33521432 18.83649089 3632.530213497 16.085852605 2.29552156861834e-05
"13" 1995 13.33521432 18.83649089 7964.454198591 16.085852605 5.03301426845892e-05
"14" 1996 13.33521432 18.83649089 2446.832800684 16.085852605 1.54623833489488e-05
"15" 1997 13.33521432 18.83649089 7623.540427633 16.085852605 4.81757905711082e-05
"16" 1998 13.33521432 18.83649089 6622.430876166 16.085852605 4.18494328180366e-05
"17" 1999 13.33521432 18.83649089 2544.540322778 16.085852605 1.60798309989357e-05
"18" 2000 13.33521432 18.83649089 22214.757450281 16.085852605 0.000140382741151802
"19" 2001 13.33521432 18.83649089 6943.868976774 16.085852605 4.38807114297871e-05
"20" 2002 13.33521432 18.83649089 3550.838220094 16.085852605 2.24389757051827e-05
"21" 2003 13.33521432 18.83649089 1811.147146368 16.085852605 1.14452656800531e-05
"22" 2004 13.33521432 18.83649089 3703.102005002 16.085852605 2.34011832625406e-05
"23" 2005 13.33521432 18.83649089 2246.734588277 16.085852605 1.41978934880921e-05
"24" 2006 13.33521432 18.83649089 7939.914895358 16.085852605 5.01750703340802e-05
"25" 2007 13.33521432 18.83649089 2236.343868651 16.085852605 1.4132230934409e-05
"26" 2008 13.33521432 18.83649089 2825.239214206 16.085852605 1.78536644474948e-05
"27" 2009 13.33521432 18.83649089 8936.304048502 16.085852605 5.64715982563559e-05
"28" 2010 13.33521432 18.83649089 10481.213237524 16.085852605 6.6234414135436e-05
"29" 2011 13.33521432 18.83649089 1774.92853144 16.085852605 1.12163877165779e-05
"30" 1983 18.83649089 26.6072506 5422.137626838 22.721870745 2.42573122517592e-05
"31" 1984 18.83649089 26.6072506 7514.405791414 22.721870745 3.36176062308946e-05
"32" 1985 18.83649089 26.6072506 7617.656731116 22.721870745 3.40795255802379e-05
"33" 1986 18.83649089 26.6072506 5065.167705525 22.721870745 2.26603164833532e-05
"34" 1987 18.83649089 26.6072506 7005.205304465 22.721870745 3.13395682944299e-05
